PORT_ID,ADR_ID,GROUP_ID
MFNRPD00DA,20113,Bay5
MFRWTE00DB,20112,Bay6
MFRWTE00DC,20111,Bay6
MFRWTE00DD,20110,Bay6
MFRWTE00DE,20109,Bay6
MFRWTE00DF,20108,Bay6
MFRWTD00DG,20107,Bay6
MFRWTD00DH,20106,Bay6
MFRWTD00DJ,20105,Bay6
MFRWTD00DK,20104,Bay6
MFRWTD00DL,20103,Bay6
MFRWT600DM,20102,Bay6
MFRWT600DN,20101,Bay6
MFRWT600DP,20100,Bay6
MFRWT600DQ,20099,Bay6
MFRWT600DR,20098,Bay6
MFRWT500DS,20097,Bay6
MFRWT500DT,20096,Bay6
MFRWT500DU,20095,Bay6
MFRWT500DV,20094,Bay6
MFRWT500DW,20093,Bay6
MFRWT400DX,20092,Bay6
MFRWT400DY,20091,Bay6
MFRWT400DZ,20090,Bay6
MFRWT400E1,20089,Bay6
MFRWT400E2,20088,Bay6
MFRWT700E3,20087,Bay7
MFRWT700E4,20086,Bay7
MFRWT700E5,20085,Bay7
MFRWT700E6,20084,Bay7
MFRWT700E7,20083,Bay7
MFRWT800E8,20082,Bay7
MFRWT800E9,20081,Bay7
MFRWT800EA,20080,Bay7
MFRWT800EB,20079,Bay7
MFRWT800EC,20078,Bay7
MFRWT900ED,20077,Bay7
MFRWT900EE,20076,Bay7
MFRWT900EF,20075,Bay7
MFRWT900EG,20074,Bay7
MFRWT900EH,20073,Bay7
MFRWTF00EJ,20072,Bay7
MFRWTF00EK,20071,Bay7
MFRWTF00EL,20070,Bay7
MFRWTF00EM,20069,Bay7
MFRWTF00EN,20068,Bay7
MFRWTA00EP,20067,Bay7
MFRWTA00EQ,20066,Bay7
MFRWTA00ER,20065,Bay7
MFRWTA00ES,20064,Bay7
MFRWTA00ET,20063,Bay7
MFNRP700EU,20062,Bay8
MFNRP700EV,20061,Bay8
MFNRP700EW,20060,Bay8
MFNRP700EX,20059,Bay8
MFNRP600EY,20058,Bay8
MFNRP600EZ,20057,Bay8
MFNRP600F1,20056,Bay8
MFNRP600F2,20055,Bay8
MFAPI600F3,20053,Bay8
MFAPI600F4,20052,Bay8
MFAPI600F5,20051,Bay8
MFAPI600F6,20050,Bay8
MFAPI600F7,20049,Bay8
MFNRP500F8,20047,Bay8
MFNRP500F9,20046,Bay8
MFNRP500FA,20045,Bay8
MFNRP500FB,20044,Bay8
MFNRP300FC,20043,Bay8
MFNRP300FD,20042,Bay8
MFNRP300FE,20041,Bay8
MFNRP300FF,20040,Bay8
MFNRP100FG,20039,Bay8
MFNRP100FH,20038,Bay8
MFNRP100FJ,20037,Bay8
MFNRP100FK,20036,Bay8
MFNRPE00FL,20035,Bay9
MFNRPE00FM,20034,Bay9
MFNRPE00FN,20033,Bay9
MFNRPE00FP,20032,Bay9
MFNRP200FQ,20031,Bay9
MFNRP200FR,20030,Bay9
MFNRP200FS,20029,Bay9
MFNRP200FT,20028,Bay9
MFNRP400FU,20027,Bay9
MFNRP400FV,20026,Bay9
MFNRP400FW,20025,Bay9
MFNRP400FX,20024,Bay9
MFAPI700FY,20023,Bay9
MFAPI700FZ,20022,Bay9
MFAPI700G1,20021,Bay9
MFAPI700G2,20020,Bay9
MFAPI700G3,20019,Bay9
MFCTP400G4,20018,Bay9
MFCTP400G5,20017,Bay9
MFCTP400G6,20016,Bay9
MFCTP400G7,20015,Bay9
MFCTP500G8,20014,Bay9
MFCTP500G9,20013,Bay9
MFCTP500GA,20012,Bay9
MFCTP500GB,20011,Bay9
MFCTP100GP,20001,Bay10
MFCTP100GN,20002,Bay10
MFCTP100GM,20003,Bay10
MFCTP100GL,20004,Bay10
MFCTP200GK,20005,Bay10
MFCTP200GJ,20006,Bay10
MFCTP200GH,20007,Bay10
MFCTP200GG,20008,Bay10
MFCTP300GF,20009,Bay10
MFCTP300GE,20010,Bay10
MFCTP300GD,20311,Bay10
MFCTP300GC,20312,Bay10
MFAPI900H1,10384,Bay13
MFAPI900H2,10383,Bay13
MFAPI900H3,10382,Bay13
MFAPI900H4,10381,Bay13
MFAPI900H5,10380,Bay13
MFAPI800H6,10379,Bay13
MFAPI800H7,10378,Bay13
MFAPI800H8,10377,Bay13
MFAPI800H9,10376,Bay13
MFAPI800HA,10375,Bay13
MFCAGE00HB,10374,Bay13
MFCAGE00HC,10373,Bay13
MFCAGE00HD,10372,Bay13
MFCAGE00HE,10371,Bay13
MFCAGE00HF,10370,Bay13
MFCAGD00HG,10369,Bay13
MFCAGD00HH,10368,Bay13
MFCAGD00HJ,10367,Bay13
MFCAGD00HK,10366,Bay13
MFCAGD00HL,10365,Bay13
MFCAGC00HM,10364,Bay13
MFCAGC00HN,10363,Bay13
MFCAGC00HP,10362,Bay13
MFCAGC00HQ,10361,Bay13
MFCAGC00HR,10360,Bay13
MFAPIB00HS,10326,Bay14
MFAPIB00HT,10325,Bay14
MFAPIB00HU,10324,Bay14
MFAPIB00HV,10323,Bay14
MFAPIB00HW,10322,Bay14
MFAPIA00HX,10321,Bay14
